Player 1,Player 2,Player 1 Wins,Player 2 Wins,Player 1 Ace,Player 2 Ace ,Difference in Ace,Year,,
Medvedev,Djokovic,No,Yes,13,4,9,2023,,
Alcaraz,Ruud,Yes,No,14,4,10,2022,,
Medvedev,Djokovic,Yes,No,16,6,10,2021,,
Zverev,Thiem,No,Yes,15,8,7,2020,,
Nadal,Medvedev,Yes,No,5,14,-9,2019,,
Del Potro,Djokovic,No,Yes,6,1,5,2018,,
Anderson,Nadal,No,Yes,10,1,9,2017,,
Djokovic,Wawrinka,No,Yes,6,9,-3,2016,,
Djokovic,Federer,Yes,No,3,11,-8,2015,,
Nishikori,Cillic,No,Yes,2,18,-16,2014,,
Nadal,Djokovic,Yes,No,1,6,-5,2013,,
Djokovic,Murray,No,Yes,7,5,2,2012,,
Nadal,Djokovic,No,Yes,2,7,-5,2011,,
Nadal,Djokovic,Yes,No,8,5,3,2010,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,